kind,feature,importance
hitters,pre_wOBA,0.037063426758997674
hitters,pre_ISO,0.015610125039834688
hitters,pre_OBP,0.009669537701062977
hitters,pre_AVG,0.00592716605833816
hitters,prior_wOBA,0.0015176410309651494
hitters,pre_BB%,0.0009725045024040029
hitters,pre_PA,0.0008528725357580619
hitters,pre_HR_rate,0.00041175038797403306
hitters,cutoff_ord,0.0003718808145748931
hitters,age,0.000155755483049666
hitters,pre_K%,8.685166406449188e-05
hitters,prior_PA,-1.235308746625613e-06
pitchers,pre_FIP,0.10958214713673006
pitchers,pre_K%,0.04445427202661449
pitchers,pre_IP,0.020282877712336767
pitchers,cutoff_ord,0.009488522568948943
pitchers,prior_FIP,0.009105219017273325
pitchers,age,0.0009243257929875571
pitchers,pre_ERA,-0.0015856306396398122
pitchers,pre_HR9,-0.0024335317205474325
pitchers,pre_BB%,-0.0025469831524012275
pitchers,prior_IP,-0.004700531927200746
