name,team,age,pre_PA,pre_wOBA,prior_wOBA,marcel_wOBA,proj_wOBA,model,mlbam
Nick Kurtz,Athletics,23,375.0,0.4013,0.4149,0.3993,0.3928,Ridge regression,701762
Aaron Judge,New York Yankees,34,261.0,0.3789,0.4585,0.3874,0.3899,Ridge regression,592450
Shohei Ohtani,Los Angeles Dodgers,31,349.0,0.3975,0.4137,0.3883,0.3846,Ridge regression,660271
Yordan Alvarez,Houston Astros,29,366.0,0.4262,0.3354,0.3896,0.3824,Ridge regression,670541
Kyle Schwarber,Philadelphia Phillies,33,356.0,0.4002,0.3875,0.3815,0.3819,Ridge regression,656941
Juan Soto,New York Mets,27,277.0,0.405,0.3866,0.3879,0.3806,Ridge regression,665742
Junior Caminero,Tampa Bay Rays,22,354.0,0.3896,0.353,0.3769,0.3729,Ridge regression,691406
James Wood,Washington Nationals,23,396.0,0.3738,0.35,0.366,0.3717,Ridge regression,695578
Munetaka Murakami,Chicago White Sox,26,246.0,0.3901,,0.3561,0.3705,Ridge regression,808959
Ben Rice,New York Yankees,27,330.0,0.3911,0.3553,0.3727,0.3667,Ridge regression,700250
Bryce Harper,Philadelphia Phillies,33,350.0,0.3795,0.358,0.3607,0.3643,Ridge regression,547180
Mike Trout,Los Angeles Angels,34,335.0,0.3695,0.3405,0.3485,0.3637,Ridge regression,545361
Jonathan Aranda,Tampa Bay Rays,28,349.0,0.3669,0.3784,0.3628,0.3559,Ridge regression,666018
Hunter Goodman,Colorado Rockies,26,328.0,0.351,0.3555,0.3488,0.3553,Ridge regression,696100
Corbin Carroll,Arizona Diamondbacks,25,341.0,0.3751,0.368,0.3683,0.3551,Ridge regression,682998
Pete Alonso,Baltimore Orioles,31,368.0,0.3484,0.3651,0.3447,0.3548,Ridge regression,624413
Matt Olson,Atlanta Braves,32,353.0,0.3624,0.3636,0.3522,0.3545,Ridge regression,621566
Tyler Soderstrom,Athletics,24,335.0,0.3416,0.3508,0.3437,0.353,Ridge regression,691016
Byron Buxton,Minnesota Twins,32,329.0,0.3742,0.363,0.3592,0.3527,Ridge regression,621439
Sal Stewart,Cincinnati Reds,22,352.0,0.339,0.3509,0.3441,0.3513,Ridge regression,701398
Miguel Vargas,Chicago White Sox,26,351.0,0.3692,0.3121,0.3495,0.3506,Ridge regression,678246
Carter Jensen,Kansas City Royals,22,300.0,0.3213,0.3996,0.3471,0.3493,Ridge regression,695600
Ronald Acuña Jr.,Atlanta Braves,28,236.0,0.3457,0.3999,0.3575,0.3482,Ridge regression,660670
Shea Langeliers,Athletics,28,343.0,0.3525,0.3604,0.3491,0.3481,Ridge regression,669127
Colson Montgomery,Chicago White Sox,24,328.0,0.335,0.3515,0.3398,0.348,Ridge regression,695657
Freddie Freeman,Los Angeles Dodgers,36,350.0,0.3745,0.3669,0.3567,0.3469,Ridge regression,518692
Max Muncy,Los Angeles Dodgers,35,290.0,0.3707,0.3633,0.3534,0.3469,Ridge regression,571970
Brice Turang,Milwaukee Brewers,26,350.0,0.3477,0.3441,0.3439,0.3468,Ridge regression,668930
José Ramírez,Cleveland Guardians,33,314.0,0.3232,0.3567,0.325,0.3467,Ridge regression,608070
Brandon Lowe,Pittsburgh Pirates,31,341.0,0.3497,0.3314,0.3368,0.3462,Ridge regression,664040
Cody Bellinger,New York Yankees,30,348.0,0.3522,0.3447,0.3429,0.3457,Ridge regression,641355
Yandy Díaz,Tampa Bay Rays,34,341.0,0.3971,0.3617,0.3715,0.3457,Ridge regression,650490
Bobby Witt Jr.,Kansas City Royals,26,350.0,0.3504,0.3575,0.349,0.3451,Ridge regression,677951
Ian Happ,Chicago Cubs,31,350.0,0.3381,0.331,0.3294,0.3446,Ridge regression,664023
Dominic Canzone,Seattle Mariners,28,215.0,0.3745,0.36,0.3596,0.3443,Ridge regression,686527
Jake Bauers,Milwaukee Brewers,30,286.0,0.3675,0.3306,0.347,0.3442,Ridge regression,641343
