name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Mason Miller,San Diego Padres,27,34.0,0.364,2.227,1.928,1.711,Ridge regression,695243
Jhoan Duran,Philadelphia Phillies,28,28.7,1.111,2.349,2.33,2.299,Ridge regression,661395
Erik Sabrowski,Cleveland Guardians,28,22.3,1.8,3.612,3.256,2.487,Ridge regression,681870
Louis Varland,Toronto Blue Jays,28,45.0,1.432,3.135,2.595,2.688,Ridge regression,686973
Cade Smith,Cleveland Guardians,27,38.3,2.003,1.954,2.381,2.718,Ridge regression,671922
Grant Taylor,Chicago White Sox,24,41.3,2.01,1.417,2.12,2.729,Ridge regression,691799
Trevor Megill,Milwaukee Brewers,32,31.0,1.422,2.497,2.514,2.786,Ridge regression,656730
Jacob Misiorowski,Milwaukee Brewers,24,99.0,1.836,3.62,2.543,2.885,Ridge regression,694819
Dylan Lee,Atlanta Braves,31,36.3,1.558,3.998,3.153,2.922,Ridge regression,669276
Logan Henderson,Milwaukee Brewers,24,23.0,2.403,3.017,3.07,2.98,Ridge regression,701656
Adrian Morejon,San Diego Padres,27,42.0,2.028,2.28,2.512,2.999,Ridge regression,670970
Alex Vesia,Los Angeles Dodgers,30,27.0,2.062,3.772,3.356,3.052,Ridge regression,681911
Dylan Cease,Toronto Blue Jays,30,83.3,2.355,3.558,2.967,3.063,Ridge regression,656302
Grant Wolfram,Baltimore Orioles,29,24.3,1.537,3.585,3.142,3.067,Ridge regression,664991
Aroldis Chapman,Boston Red Sox,38,23.7,2.085,1.733,2.469,3.082,Ridge regression,547973
Andrés Muñoz,Seattle Mariners,27,29.3,3.167,2.429,3.024,3.1,Ridge regression,662253
Tanner Scott,Los Angeles Dodgers,31,33.0,2.523,4.696,3.865,3.17,Ridge regression,656945
Raisel Iglesias,Atlanta Braves,36,26.3,2.074,3.313,3.207,3.185,Ridge regression,628452
Devin Williams,New York Mets,31,27.3,2.806,2.683,3.071,3.188,Ridge regression,642207
Paul Skenes,Pittsburgh Pirates,24,93.0,2.744,2.362,2.778,3.201,Ridge regression,694973
Jeff Hoffman,Toronto Blue Jays,33,37.7,2.727,4.9,3.989,3.239,Ridge regression,656546
Matthew Boyd,Chicago Cubs,35,28.7,2.611,3.647,3.5,3.251,Ridge regression,571510
Garrett Whitlock,Boston Red Sox,30,26.7,2.987,2.177,2.873,3.285,Ridge regression,676477
Cristopher Sánchez,Philadelphia Phillies,29,110.0,2.363,2.551,2.622,3.288,Ridge regression,650911
Anthony Bender,Miami Marlins,31,34.3,2.4,3.615,3.321,3.298,Ridge regression,669622
Gage Jump,Athletics,23,35.3,2.137,,3.385,3.3,Ridge regression,695611
Tarik Skubal,Detroit Tigers,29,59.7,3.133,2.449,3.071,3.305,Ridge regression,669373
Juan Morillo,Arizona Diamondbacks,27,31.3,2.748,3.63,3.436,3.307,Ridge regression,666661
David Bednar,New York Yankees,31,33.0,2.705,2.178,2.793,3.32,Ridge regression,670280
Luke Weaver,New York Mets,32,35.0,2.47,3.893,3.473,3.328,Ridge regression,596133
Bryce Miller,Seattle Mariners,27,45.7,3.055,5.172,4.088,3.335,Ridge regression,682243
Cam Schlittler,New York Yankees,25,100.0,2.209,3.738,2.812,3.335,Ridge regression,693645
Hunter Brown,Houston Astros,27,25.3,3.375,3.14,3.43,3.342,Ridge regression,686613
Tyler Glasnow,Los Angeles Dodgers,32,39.7,3.25,3.755,3.681,3.376,Ridge regression,607192
Aaron Ashby,Milwaukee Brewers,28,49.0,3.14,2.7,3.153,3.388,Ridge regression,676879
Ty Madden,Detroit Tigers,26,20.0,2.999,,3.876,3.394,Ridge regression,680744
Jacob Latz,Texas Rangers,30,39.0,2.74,3.719,3.448,3.396,Ridge regression,656641
Jonathan Bowlan,Philadelphia Phillies,29,24.3,2.688,3.97,3.666,3.399,Ridge regression,680742
Edgardo Henriquez,Los Angeles Dodgers,24,31.7,2.657,3.398,3.266,3.412,Ridge regression,683618
Shohei Ohtani,Los Angeles Dodgers,31,79.7,2.559,1.901,2.61,3.43,Ridge regression,660271
Chris Sale,Atlanta Braves,37,84.0,2.706,2.673,2.981,3.441,Ridge regression,519242
Michael Petersen,Miami Marlins,32,35.0,2.67,4.579,3.85,3.45,Ridge regression,656848
Yennier Cano,Baltimore Orioles,32,26.7,2.462,4.273,3.746,3.464,Ridge regression,666974
Evan Sisk,Pittsburgh Pirates,29,35.3,2.986,3.078,3.272,3.467,Ridge regression,681895
Mason Montgomery,Pittsburgh Pirates,26,31.7,3.383,3.918,3.775,3.467,Ridge regression,682254
Fernando Cruz,New York Yankees,36,34.7,3.099,3.177,3.429,3.468,Ridge regression,518585
Kyle Harrison,Milwaukee Brewers,24,77.0,3.021,3.724,3.359,3.47,Ridge regression,690986
Joe Ryan,Minnesota Twins,30,93.3,2.81,3.737,3.255,3.48,Ridge regression,657746
Jimmy Herget,Colorado Rockies,32,20.0,3.149,3.315,3.519,3.484,Ridge regression,623474
Bryan Baker,Tampa Bay Rays,31,32.3,2.852,3.921,3.638,3.486,Ridge regression,641329
Andrew Alvarez,Washington Nationals,27,36.7,2.744,3.392,3.293,3.487,Ridge regression,674841
Garrett Cleavinger,Tampa Bay Rays,32,22.3,3.636,3.592,3.783,3.493,Ridge regression,664076
Kyle Hurt,Los Angeles Dodgers,28,26.7,3.174,,3.882,3.499,Ridge regression,669165
Chase Burns,Cincinnati Reds,23,91.7,3.164,2.65,3.102,3.504,Ridge regression,695505
Sean Newcomb,Chicago White Sox,33,49.7,2.576,3.038,3.076,3.508,Ridge regression,656794
Casey Mize,Detroit Tigers,29,58.0,2.771,3.887,3.403,3.524,Ridge regression,663554
Graham Ashcraft,Cincinnati Reds,28,27.0,3.469,2.722,3.266,3.529,Ridge regression,668933
Jesús Luzardo,Philadelphia Phillies,28,97.3,3.089,2.895,3.172,3.531,Ridge regression,666200
